chunk_id|file_path|block_type|name|error
58b9f051655ba8e0dda89f02b18da680|C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busProxy\busEmployeeProxy\cbsEmployeeProxy.cls|Sub|GetEmployeeExcusedTimeInformation3|Extracted CSV missing required columns: Sequence_Order, Rule_Flow, Rule_Task, Rule_Name, Rule, Actual_Code, Explanation
85553b1d129d730d3d6aafaf47b572de|C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busServer\busAccrualBankMgr\cbsAccrualBankMgr.cls|Sub|UpdateVacationBanks|Extracted CSV missing required columns: Sequence_Order, Rule_Flow, Rule_Task, Rule_Name, Rule, Actual_Code, Explanation
f7bde9eade28e8396b1b9e438c3d2a89|C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busServer\busAccrualBankMgr\cbsAccrualBankMgr.cls|Sub|UpdateParentalBoundingBanks|Extracted CSV missing required columns: Sequence_Order, Rule_Flow, Rule_Task, Rule_Name, Rule, Actual_Code, Explanation
bafd029c87420f35780158a02ad3f546|C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busServer\busCascade\cbsCascade.cls|Sub|ProcessShift|Extracted CSV missing required columns: Sequence_Order, Rule_Flow, Rule_Task, Rule_Name, Rule, Actual_Code, Explanation
efb42d320c4343c0d9057e2e7fe19416|C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busServer\busCascade\cbsCascade.cls|Function|CreateConflictRecordset|Extracted CSV missing required columns: Sequence_Order, Rule_Flow, Rule_Task, Rule_Name, Rule, Actual_Code, Explanation
d2d3a56ef8c4c340a9e381bbe5bd446d|C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busServer\busCascade\cbsCascade.cls|Function|ProcessAddException|Extracted CSV missing required columns: Sequence_Order, Rule_Flow, Rule_Task, Rule_Name, Rule, Actual_Code, Explanation
055bd66399cf9c754176cbdc6c639f39|C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busServer\busDepartment\cbsDepartment.cls|Function|GetDepartment|Extracted CSV missing required columns: Sequence_Order, Rule_Flow, Rule_Task, Rule_Name, Rule, Actual_Code, Explanation
9954ca0458ac1a2aef8a2ffe4c5a62e0|C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busServer\busComment\cbsComment.cls|Function|GetComment|Extracted CSV missing required columns: Sequence_Order, Rule_Flow, Rule_Task, Rule_Name, Rule, Actual_Code, Explanation
851a492bade9b42f9afbcd0ee98dca07|C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busServer\busDistributionMgr\cbsDistributionMgr.cls|Function|GetAccountDescriptionPrivate|Extracted CSV missing required columns: Sequence_Order, Rule_Flow, Rule_Task, Rule_Name, Rule, Actual_Code, Explanation
67de82335ea55ec543742649288fb3c9|C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busServer\busDistributionMgr\cbsDistributionMgr.cls|Function|GetDefaultAcct|Extracted CSV missing required columns: Sequence_Order, Rule_Flow, Rule_Task, Rule_Name, Rule, Actual_Code, Explanation
78987e9506db575dfa16a186a4c5b649|C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busServer\busDistributionMgr\cbsDistributionMgr.cls|Function|GetDistributionType|Extracted CSV missing required columns: Sequence_Order, Rule_Flow, Rule_Task, Rule_Name, Rule, Actual_Code, Explanation
752a3fe999a8b0e30ff1b5be82de660e|C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busServer\busEAM\cbsEAM.cls|Function|GetEAMEmployeeInformation|Extracted CSV missing required columns: Sequence_Order, Rule_Flow, Rule_Task, Rule_Name, Rule, Actual_Code, Explanation
09eda591ec7559314cb33afb41f4df9e|C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busServer\busEAM\cbsEAMTrans.cls|Function|PreSaveValidate2|Extracted CSV missing required columns: Sequence_Order, Rule_Flow, Rule_Task, Rule_Name, Rule, Actual_Code, Explanation
85790b869c6caf49e1ff44f642d20220|C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busServer\busEAM\cbsEAMTrans.cls|Function|PreSaveValidate2|Extracted CSV missing required columns: Sequence_Order, Rule_Flow, Rule_Task, Rule_Name, Rule, Actual_Code, Explanation
1d0db37067d31cdc6278209d7ca3dae5|C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busServer\busEAM\cbsEAMTrans.cls|Function|ProcessEAMRequest|Extracted CSV missing required columns: Sequence_Order, Rule_Flow, Rule_Task, Rule_Name, Rule, Actual_Code, Explanation
3b1e6b32d821e12d0b81c28aac0d93eb|C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busServer\busEAM\cbsEAMTrans.cls|Function|AddTimeAndSchExceptions|Extracted CSV missing required columns: Sequence_Order, Rule_Flow, Rule_Task, Rule_Name, Rule, Actual_Code, Explanation
9d8669a3e3e3d8045db1ae2c1b7c0d39|C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busServer\busEAM\cbsEAMTrans.cls|Function|AddTimeAndSchExceptionsOld|Extracted CSV missing required columns: Sequence_Order, Rule_Flow, Rule_Task, Rule_Name, Rule, Actual_Code, Explanation
c45adfe2cfc72bfa621d7f294bed77f1|C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busServer\busEAM\cbsEAMTrans.cls|Sub|CreateAndAddAllAbsenceRecords|Extracted CSV missing required columns: Sequence_Order, Rule_Flow, Rule_Task, Rule_Name, Rule, Actual_Code, Explanation
412a9cc354b2f8a4018c20331295593d|C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busServer\busEAM\cbsEAMTrans.cls|Function|DetermineAbsenceStartAndEndOld|Extracted CSV missing required columns: Sequence_Order, Rule_Flow, Rule_Task, Rule_Name, Rule, Actual_Code, Explanation
20f466fa296bae1fa01930d0283868f0|C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busServer\busEAM\cbsEAMTrans.cls|Function|DetermineAbsenceStartAndEndTemp|Extracted CSV missing required columns: Sequence_Order, Rule_Flow, Rule_Task, Rule_Name, Rule, Actual_Code, Explanation
9e1902a9b09ee1b57b415c605b0bbd6e|C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busServer\busEAM\cbsEAMTrans.cls|Function|DetermineAbsenceStartAndEnd_Private|Extracted CSV missing required columns: Sequence_Order, Rule_Flow, Rule_Task, Rule_Name, Rule, Actual_Code, Explanation
eafc3f94ba071a012d67489ee24922fa|C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busServer\busEAM\cbsEAMTrans.cls|Sub|CreateAndAddAllAbsenceRecords|Extracted CSV missing required columns: Sequence_Order, Rule_Flow, Rule_Task, Rule_Name, Rule, Actual_Code, Explanation
abad558725ff44a4ec9aa8fd8a981a04|C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busServer\busEAM\cbsEAMTrans.cls|Function|CreateTimeRS|Extracted CSV missing required columns: Sequence_Order, Rule_Flow, Rule_Task, Rule_Name, Rule, Actual_Code, Explanation
4402da46d96afff6a25d3f3dfd770844|C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busServer\busJCL\cbsJCLTrans.cls|Function|ValidateRequest|Extracted CSV missing required columns: Sequence_Order, Rule_Flow, Rule_Task, Rule_Name, Rule, Actual_Code, Explanation
3287e0f569b38b16c99d67534a201fb5|C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busServer\busJCL\cbsJCLTrans.cls|Function|ValidateRequest|Extracted CSV missing required columns: Sequence_Order, Rule_Flow, Rule_Task, Rule_Name, Rule, Actual_Code, Explanation
4d743efa4fcfa75844126a9d8eb7f8a0|C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busServer\busJCL\cbsJCLTrans.cls|Function|ValidateRequest|Extracted CSV missing required columns: Sequence_Order, Rule_Flow, Rule_Task, Rule_Name, Rule, Actual_Code, Explanation
